AGI,logFC,logCPM,LR,PValue,FDR,symbol2,full_name
ATCG00580,-1.1781737246765775,-2.9352907680630973,0.7197411404796306,0.39622883288838306,0.7520380277177727,PSBE,photosystem II reaction center protein E
AT3G13400,-1.1690440039757906,-2.3016721389315857,0.719432198220165,0.3963302215928927,0.7521282428744402,sks13,SKU5  similar 13
AT1G06475,-0.20869490077009464,1.5721758235452392,0.7194034342703102,0.3963396632538351,0.7521282428744402,NA,NA
AT3G46666,-1.194717736087457,-2.7220951851845285,0.7192983042969345,0.3963741745426185,0.7521282428744402,NA,NA
AT3G01316,-1.1773282759602228,-2.634288080183628,0.7192712163355068,0.3963830674804771,0.7521282428744402,NA,NA
AT5G66060,0.10810165336402408,5.069056012826109,0.7192553331564682,0.39638828203867216,0.7521282428744402,NA,NA
AT1G31772,0.3521985742068997,-0.2795602345901436,0.7191528504659956,0.39642193019907523,0.752149615954225,NA,NA
AT5G02850,-0.11759305683703483,4.165183883840193,0.7188860963872123,0.39650953294439367,0.7522733513634191,MED4,MEDIATOR 4
AT2G39870,-0.10050317372017224,6.078301371956545,0.7187356011601196,0.3965589683030451,0.7523246642343565,NA,NA
AT5G48840,0.11271202168944784,3.4149111608372538,0.7181526272319374,0.39675055024027694,0.7526456268940206,ATPTS;PANC;PTS,ARABIDOPSIS THALIANA PANTOTHENATE SYNTHETASE;homolog of bacterial PANC;PANTOTHENATE SYNTHETASE
AT2G12385,-1.1772224087494554,-3.137276640087794,0.7179739033619876,0.39680931078528553,0.7527146020665667,NA,NA
AT1G36950,0.23380145540520772,0.9959842884892292,0.7176580433931825,0.39691318944582543,0.7528691499722623,CTL13,"NA"
AT4G33540,-0.11612637958884431,4.164941957474822,0.7173895301671287,0.3970015277970661,0.7529942050709537,NA,NA
AT1G78120,-0.10880974508733712,6.114219466286907,0.7173175995723575,0.39702519711479817,0.7529965949907687,TPR12,tetratricopeptide repeat 12
AT1G20970,0.11065195533505587,6.979813640104971,0.717131429728763,0.39708646720420704,0.7530542694264094,NA,NA
AT2G35382,-1.1771502607499331,-2.7771434069798313,0.7170890138447668,0.39710042854492433,0.7530542694264094,NA,NA
AT5G02070,0.15669757587612707,3.6769890943030576,0.7168627183916492,0.3971749264904575,0.7531530406282366,NA,NA
AT4G18593,-0.1297557454471576,3.548386919080205,0.7165423262966115,0.39728043619838427,0.7533106042062022,NA,NA
AT4G36660,-0.12370951118360007,4.353245523253458,0.7161872813882013,0.3973974048812517,0.7534898769224591,NA,NA
AT2G04280,0.08191003165372479,6.375812476441463,0.7160010351737185,0.39745878314308186,0.753532165607914,NA,NA
AT5G02240,-0.09019588314191197,4.81401025657968,0.7159835117993669,0.3974645587534869,0.753532165607914,NA,NA
AT2G01810,-1.1939137972674196,-2.315006139985014,0.7158414860442548,0.39751137415768967,0.7535784030717455,NA,NA
AT1G09230,-0.13430896644572426,3.8564115658851,0.7157609133927103,0.39753793655420966,0.7535862430381672,U11/U12-65K,U11/U12-65K
AT5G04110,0.0957016495406478,4.189596813626229,0.715620264725966,0.3975843103661334,0.7536057192751842,GYRB3,DNA GYRASE B3
AT3G09280,0.3415440562624285,0.6705409466176958,0.7154996234370223,0.3976240936983774,0.7536057192751842,NA,NA
AT3G10190,0.12342359513854817,4.645764332737692,0.715463713894593,0.3976359365369961,0.7536057192751842,CML36,Calmodulin-like 36
AT5G40520,-0.13014226592888642,3.6673437989298194,0.7153540196594683,0.397672116460957,0.7536057192751842,NA,NA
AT2G26355,-0.1668721159261016,4.499499956400896,0.7153214315816108,0.3976828657473232,0.7536057192751842,NA,NA
AT4G28610,-0.08116567001162779,5.940985224540099,0.7152755733162568,0.39769799296076414,0.7536057192751842,AtPHR1;PHR1,NA;phosphate starvation response  1
AT2G24120,-0.1294671859197216,4.4735113077211,0.7152537179327894,0.39770520266373555,0.7536057192751842,PDE319;SCA3,PIGMENT DEFECTIVE 319;SCABRA 3
AT5G49040,-1.1769945562419886,-2.9990308600835953,0.7151771621694527,0.397730458540925,0.7536110785999866,NA,NA
AT2G24395,-0.21636677590422937,1.006050353523277,0.714940705611137,0.39780848060567536,0.753716411914965,NA,NA
AT2G29263,-1.17696566237429,-2.956746107906064,0.7148220593250176,0.3978476379023547,0.7537481015333177,NA,NA
AT1G01740,-0.1464652883360355,2.8628731607024234,0.7143801576633777,0.3979935294754339,0.7539819911728889,BSK4,brassinosteroid-signaling kinase 4
AT3G53820,0.437370426421871,0.2437286423660825,0.7139915166278143,0.3981219012740885,0.7541826658367303,NA,NA
AT2G14120,0.08046035404304176,6.8050494571155005,0.7137623556556782,0.3981976233726449,0.7542835864799378,DRP3B,dynamin related protein
AT3G43520,0.08380962510616594,5.326959405106833,0.7133421268378672,0.39833653452602835,0.7545041845064039,NA,NA
AT3G13950,-0.705124558851089,1.4794177355500058,0.7131537537211514,0.3983988260427267,0.7545796377142046,NA,NA
AT4G03930,0.7722051866596038,-1.8042191755931394,0.7130831426614925,0.398422179450129,0.754581336595831,PME42,"NA"
AT1G20750,-1.1677906908715001,-2.854445587144405,0.7129386224024206,0.3984699832448775,0.754629339852019,NA,NA
AT3G52525,0.7703602466012981,-1.8742419266922237,0.7128680244119714,0.39849333836448725,0.7546310389835156,ATOFP6;OFP6,ARABIDOPSIS THALIANA OVATE FAMILY PROTEIN 6;ovate family protein 6
AT2G17620,0.16672125303095067,2.515098032724046,0.7127526590869913,0.39853150760910316,0.7546607900073872,CYCB2;1,Cyclin B2;1
AT4G02570,-0.08283507175301184,8.256597666858479,0.7123104744230133,0.39867785582488846,0.7548953742492901,ATCUL1;AXR6;CUL1;ETA1;ICU13,cullin 1;AUXIN RESISTANT 6;cullin 1;NA;INCURVATA 13
AT1G63300,0.1236707674092856,4.747470034059323,0.7118362033116465,0.39883491004985444,0.7551502027100473,NA,NA
AT4G01630,-0.2767398840426824,4.075554094514189,0.7117232567727996,0.3988723253454499,0.7551784920136245,ATEXP17;ATEXPA17;ATHEXP ALPHA 1.13;EXP17;EXPA17,EXPANSIN 17;expansin A17;NA;NA;expansin A17
AT3G03000,0.1612685015919743,4.192315910137158,0.7115823222757776,0.3989190192142601,0.7552243441116439,NA,NA
AT4G34100,0.10994480722886334,7.087465980200901,0.711246038676606,0.399030467366495,0.755368260334009,CER9;SUD1,ECERIFERUM 9;SUPPRESSOR OF DRY2 DEFECTS 1
AT2G33630,-0.10359821246514431,7.018579777295953,0.7112172893799986,0.3990399972974523,0.755368260334009,NA,NA
AT3G26630,0.14488394189738443,2.9019317042769552,0.7110805132422948,0.399085340909104,0.75541153814937545,NA,NA
AT5G65760,-0.10712402677963555,5.149044697897639,0.7110000664923284,0.39911201385766004,0.75541947218189,NA,NA
AT5G27110,-0.24747262824072788,1.4679881083010882,0.7108729503008213,0.39915416580367935,0.7554567015509313,NA,NA
ATCG01110,-1.1766201259868938,-2.977911124660898,0.7105675984876338,0.3992554473385375,0.7556058316795009,NDHH,NAD(P)H dehydrogenase subunit H
AT5G67350,0.13471248316625065,2.983611367688099,0.7101186566347923,0.39940442358490524,0.7557558441442992,NA,NA
AT1G66700,1.525028518286254,4.829010106292988,0.7100940788809922,0.3994125817579548,0.7557558441442992,PXMT1,"NA"
AT1G35333,-1.1775800675835957,-3.11287802967246,0.7100819954986299,0.3994165927225455,0.7557558441442992,NA,NA
AT2G18245,0.11915804677587644,3.6762290694519586,0.7099533498413706,0.39945929905127875,0.7557558441442992,NA,NA
AT5G64690,0.19966245944173225,2.4858525699461986,0.7099191207052193,0.39947066316676194,0.7557558441442992,NA,NA
AT5G52965,-1.176566292629183,-3.1371132159617994,0.7099034619867179,0.3994758620368177,0.7557558441442992,NA,NA
AT5G15581,-0.6371788617368134,-1.378236016041781,0.7098543983088597,0.399492152362688,0.7557558441442992,NA,NA
AT3G05660,0.7630622453585363,-1.8630291577702385,0.7096656318216077,0.39955483637219963,0.7558318759093988,AtRLP33;RLP33,receptor like protein 33;receptor like protein 33
AT2G35600,0.17833000909293376,2.6721998177547417,0.7092800109973716,0.3996829344472904,0.7560052382454919,ATBRXL1;BRXL1,ARABIDOPSIS THALIANA BREVIS RADIX LIKE 1;BREVIS RADIX-like 1
AT5G18670,-0.20618074127653757,4.735709134406547,0.7092542970083429,0.39969147840697467,0.7560052382454919,BAM9;BMY3,BETA-AMYLASE 9;beta-amylase 3
AT5G46340,0.08231263020081209,6.048661280694977,0.7090600200164516,0.39975603917258407,0.7560847927657981,RWA1,REDUCED WALL ACETYLATION 1
AT2G14070,0.7726702014054839,-2.2757144200504884,0.7087561636036241,0.3998570449169061,0.75623326522755,NA,NA
ATCG00800,-1.242275385246291,-2.5833021273454313,0.708595033635671,0.3999106215844509,0.7562574964827461,RPS3,RESISTANCE TO PSEUDOMONAS SYRINGAE 3
AT1G49870,0.1677913734949303,3.851671604054099,0.7085822586156727,0.3999148697994737,0.7562574964827461,NA,NA
AT3G26950,0.09349178675399636,4.885699643467993,0.7084097415138775,0.3999722451785271,0.7563234317663966,NA,NA
AT1G01540,0.08430129068754395,5.707687483332077,0.707797525801146,0.40017595097746095,0.7566323945031165,NA,NA
AT3G58193,-1.1774401563671493,-2.9779239237142865,0.7077833449122153,0.4001806712430625,0.7566323945031165,NA,NA
AT1G51600,0.10483972986990807,4.50968220967393,0.7073945097749181,0.4003101307886821,0.7568345813740672,GATA28;TIFY2A;ZML2,GATA TRANSCRIPTION FACTOR 28;NA;ZIM-LIKE 2
AT3G28860,0.1772999479573345,7.425328612427867,0.7072671346544332,0.400352552525603,0.7568721992778953,ABCB19;ATABCB19;ATMDR1;ATMDR11;ATPGP19;MDR1;MDR11;PGP19,ATP-binding cassette B19;Arabidopsis thaliana ATP-binding cassette B19;NA;MULTIDRUG RESISTANCE PROTEIN 11;NA;NA;NA;P-GLYCOPROTEIN 19
AT4G05018,0.8762852259830258,-2.261191696007038,0.7069796854529073,0.4004483102178294,0.7570106396590438,NA,NA
AT2G38580,0.09183977382823467,5.275629957466235,0.706900347453427,0.4004747458654763,0.7570180248971499,NA,NA
AT1G35516,-0.14150322979520566,5.900229134899254,0.7067110093223974,0.4005378441039836,0.7570947087574987,NA,NA
AT4G01750,0.09113751035986747,6.0276187969029955,0.7066393553409398,0.40056172705055854,0.7570972636040538,RGXT2,rhamnogalacturonan xylosyltransferase 2
AT5G39473,-0.6216526376443758,-1.7504258932221792,0.7065559809609709,0.4005895191176365,0.7571072063327984,NA,NA
AT4G37080,0.10886542338641449,4.379817645169618,0.7064571003563849,0.4006224836667598,0.7571269232941767,NA,NA
AT2G29080,0.10952848905286278,6.7025816299397585,0.706214704346829,0.4007033096508909,0.7572370851408378,AtFTSH3;FTSH3,NA;FTSH protease 3
AT4G00490,0.15138949437198684,3.051489160317717,0.7060620286772625,0.40075423089406564,0.7572539889828535,BAM2;BMY9,beta-amylase 2;BETA-AMYLASE 9
AT3G04780,0.11202879135807733,5.978647552400289,0.706052748028938,0.4007573265306256,0.7572539889828535,NA,NA
AT1G02180,-0.19050451475757763,1.9978635771526148,0.7057944647438532,0.4008434929714262,0.7573641141197694,NA,NA
AT4G11110,-0.08257863818071728,5.505288493842747,0.705715818916552,0.4008697355160329,0.7573641141197694,SPA2,SPA1-related 2
AT5G48900,0.1355343997246618,4.6065065279857835,0.705675394774584,0.4008832252167793,0.7573641141197694,NA,NA
AT5G13070,0.10977344965738879,5.255319000377511,0.7054659311476179,0.4009531346380375,0.7574325541987754,NA,NA
AT3G52520,0.275185185728864,1.1349341553357823,0.705431781007654,0.4009645340779661,0.7574325541987754,NA,NA
AT2G29100,0.5796462047209301,-0.15742704467737964,0.7047918500879149,0.40117823239273187,0.7577770344846096,ATGLR2.9;GLR2.9;GLR2.9,glutamate receptor 2.9;GLUTAMATE RECEPTOR  2.9;glutamate receptor 2.9
AT2G15280,-0.10484884458178423,4.151738027521588,0.7047506517504853,0.4011919958181419,0.7577770344846096,RTNLB10,reticulon-like B 10
AT2G44150,-0.11067263128468734,4.55856023484789,0.7046129636343856,0.40123799925561643,0.7578213282551416,ASHH3;SDG7,histone-lysine N-methyltransferase ASHH3;SET DOMAIN-CONTAINING PROTEIN 7
AT2G32680,0.7579431814759507,-2.41432503000645,0.7045318099536395,0.4012651173725538,0.7578299501996715,AtRLP23;RLP23,receptor like protein 23;receptor like protein 23
AT3G20190,-1.1760867933020576,-2.4143164206323733,0.7039723498814716,0.40145213765631627,0.758140545693674,PRK4,pollen receptor like kinase 4
AT4G36090,0.10938480075682647,4.458543413500444,0.703887732980288,0.4014804350193539,0.7581513756052787,ALKBH9C,AtALKBH9C
AT5G41260,-0.10524923353599719,6.342346795037133,0.7033157854318315,0.4016717802510959,0.7584341586648731,BSK8,brassinosteroid-signaling kinase 8
AT2G25710,0.11014383360747361,5.048416472839547,0.7033051920972717,0.40167532550443663,0.7584341586648731,HCS1,holocarboxylase synthase 1
AT4G38960,0.20175586485686633,3.5559625319664443,0.7030547105435225,0.4017591669950374,0.7585498415107741,BBX19,B-box domain protein 19
AT3G45880,-0.20279874891851382,1.8554225489521956,0.7029756404038086,0.4017856387306487,0.7585571992711124,JMJ32,JUMONJI 32
AT4G00240,-0.130873178030488,4.288650841079728,0.7028373552408862,0.4018319410415448,0.7586019935321079,PLDBETA2,phospholipase D beta 2
AT3G28153,-0.418846023860582,-0.900515968028433,0.7026604865932988,0.40189117364740756,0.7586490564231682,NA,NA
AT2G32810,-0.12503464554809138,5.337297088808858,0.7026017553221635,0.4019108453235667,0.7586490564231682,BGAL9;BGAL9,beta galactosidase 9;beta-galactosidase 9
AT2G47920,-0.30385801882343316,0.39451814172498995,0.7025606838978611,0.40192460277499076,0.7586490564231682,NET3C,Networked 3C
AT1G20350,-1.19731959289776,-2.6504320393684946,0.702295001961307,0.402013613219563,0.758774444273648,ATTIM17-1;TIM17-1,translocase inner membrane subunit 17-1;translocase inner membrane subunit 17-1
AT3G08900,0.2895908909694674,5.743020538299141e-4,0.7021569357315549,0.40205988035989226,0.7588191473743597,RGP;RGP3,NA;reversibly glycosylated polypeptide 3
AT3G22090,-1.1975370219509869,-2.72226692607767,0.7014076817071739,0.40231109669487014,0.7592113739505862,NA,NA
AT3G12950,-0.0887324549260886,5.560356894215141,0.7014023360743415,0.4023128898447753,0.7592113739505862,NA,NA
AT1G06640,0.13368315408194045,7.835488012638401,0.7012125120196586,0.40237657234749974,0.7592889079587064,NA,NA
AT4G04440,-1.197626193928984,-2.8935999897050966,0.7010429722374667,0.40243346224580834,0.7593284545681493,NA,NA
AT4G11700,-0.5726068135692501,-1.634561135849586,0.7010153710735825,0.40244272505815637,0.7593284545681493,NA,NA
AT5G41010,-0.1463600427613907,4.55925871713487,0.7003422551832035,0.4026687154449704,0.7597121940697302,NRPB12;NRPD12;NRPE12,NA;NA;NA
AT2G35690,0.15485754361808093,3.6428782447847365,0.7000567992547744,0.4027646095332538,0.7598504525033066,ACX5,acyl-CoA oxidase 5
AT1G48630,-0.13174114722323535,7.7332972906712865,0.6997030698388826,0.40288348506712296,0.7600320494736955,RACK1B;RACK1B_AT,receptor for activated C kinase 1B;receptor for activated C kinase 1B
AT5G03100,-0.1689428387633945,2.9040476246754383,0.6994572976372098,0.40296611020024725,0.7601191453776959,NA,NA
AT4G36710,-0.16608691688946606,3.3056908408741807,0.6994311681608956,0.40297489601090036,0.7601191453776959,AtHAM4;HAM4;SCL15,Arabidopsis thaliana HAIRY MERISTEM 4;NA;Scarecrow-like 15
AT3G19290,-0.09038666705128678,5.217876099966224,0.6991779930513928,0.40306003839923954,0.7602088933049796,ABF4;AREB2;AtAREB2,ABRE binding factor 4;ABA-RESPONSIVE ELEMENT BINDING PROTEIN 2;NA
AT5G53340,0.11412005747284552,4.930960848911019,0.6991551450255997,0.40306772344269737,0.7602088933049796,HPGT1,hydroxyproline O-galactosyltransferase 1
AT3G16460,0.13837075958651315,10.139177714331968,0.698908676445626,0.4031506379033157,0.7603225983514179,JAL34,jacalin-related lectin 34
AT3G10360,0.11651586690352515,5.330737249897705,0.69830186785493,0.4033548801909965,0.7606650962048415,APUM4;PUM4,pumilio 4;pumilio 4
AT5G03050,0.19446769616192625,2.7313637048670825,0.6978234415456797,0.40351601729290365,0.7609262704459369,NA,NA
AT4G17020,-0.10265070806534639,4.2578203369025145,0.6976512832367474,0.40357402428184674,0.7609929497148493,NA,NA
AT4G30740,-0.6761594405936969,-1.2058648645977337,0.6971249031777589,0.40375145807723184,0.761284804124973,NA,NA
AT1G15770,-1.176793455120939,-2.584903084790138,0.6970449448981135,0.40377842060431957,0.7612929238663644,NA,NA
AT1G67100,-1.1755154849262937,-2.7581746797479743,0.6968689291127035,0.40383778368579265,0.7613621280037034,LBD40,LOB domain-containing protein 40
AT1G67990,-1.2011796369479038,-2.813927796185887,0.6967905742301177,0.40386421374462217,0.7613692386808121,ATTSM1;TSM1,TAPETUM-SPECIFIC METHYLTRANSFERASE 1;NA
AT2G47090,-0.12017499244215328,3.7861120128984425,0.6967146053788831,0.4038898413735479,0.7613748358953131,NA,NA
AT5G51150,-0.09371668548176187,4.945572004116592,0.6965928070957288,0.4039309342296107,0.7613847385815179,NA,NA
AT3G04830,0.08531125047286948,6.101664003051552,0.6965480548471774,0.4039460344769946,0.7613847385815179,NA,NA
AT3G47490,-0.13943156071641713,2.9304939980291715,0.6964975663539335,0.4039630712288346,0.7613847385815179,NA,NA
AT2G20280,-0.0811196350556186,6.116326357318883,0.6962684225678757,0.40404040628908683,0.761439286515296,NA,NA
AT3G54170,-0.10046494010546726,4.720573451819985,0.6962544901849839,0.4040451091056143,0.761439286515296,ATFIP37;FIP37,FKBP12 interacting protein 37;FKBP12 interacting protein 37
AT1G04630,-0.10947469642105372,5.184606542357286,0.6962103943764539,0.40405999398411535,0.761439286515296,MEE4,maternal effect embryo arrest 4
AT4G37200,-0.15655907164057686,2.8277386757176437,0.6958305992033829,0.4041882298675778,0.7616219348366811,HCF164,HIGH CHLOROPHYLL FLUORESCENCE 164
AT2G13450,0.4878183743361976,-1.0709535526439382,0.6957394165429562,0.40421902605808147,0.7616219348366811,NA,NA
AT3G08850,0.09132829473312405,7.035179861178877,0.695721982169835,0.40422491476332867,0.7616219348366811,ATRAPTOR1B;RAPTOR1;RAPTOR1B,NA;NA;NA
AT1G65483,0.438519038341358,-0.8398419716398199,0.6955683703690276,0.40427680472234184,0.7616769942405456,NA,NA
AT1G20691,1.0246197592962665,1.1952472503925067,0.6952923939323625,0.40437005378033086,0.7618099656384099,NA,NA
AT3G59110,0.12986091398283417,4.836846135363474,0.6945410122953568,0.4046240955027862,0.7622328660628674,NA,NA
AT1G65190,0.5537492871969117,-1.315388983500356,0.6944942947625918,0.4046398983640685,0.7622328660628674,ZRK13,"NA"
AT3G09550,0.36015652822709593,-0.4369482694375743,0.6941590293514324,0.40475333302597755,0.7624038060619371,NA,NA
AT4G21670,-0.0974309784922561,5.604512398321982,0.6938855667839618,0.40484589150662015,0.7625354061886463,ATCPL1;CPL1;FRY2;RCF2;SHI4,C-TERMINAL DOMAIN PHOSPHATASE-LIKE 1;C-terminal domain phosphatase-like 1;FIERY 2;regulators of C-REPEAT BINDING FACTOR (CBF) gene expression 2;SHINY 4
AT2G32750,-0.3484672482179963,0.08939053547285804,0.693744988136956,0.40489348498246847,0.7625823038159804,NA,NA
AT4G28220,0.11488430142014759,4.838202308424232,0.6935662847012622,0.4049539975530312,0.7626359209121572,NDB1,NAD(P)H dehydrogenase B1
AT4G18530,-0.1173931288763796,3.8053614300825727,0.693526871881712,0.404967345301935,0.7626359209121572,NA,NA
AT2G23310,-0.08256809842752087,5.947045995217247,0.6932951741633984,0.40504582623615754,0.7627087875292003,ATRER1C1,"NA"
AT1G12805,-0.6448984932699713,0.6027642510810929,0.693278618505218,0.40505143483895545,0.7627087875292003,NA,NA
AT3G62430,-0.48085519391835574,-1.0967763260054726,0.6931171918897832,0.4051061276914922,0.7627098826556321,NA,NA
AT4G01280,0.09951628476609656,4.50757190651052,0.6930454010210578,0.4051304545760318,0.7627098826556321,RVE5,REVEILLE 5
AT3G47830,0.2991430275096029,0.9520389413789165,0.6929904764554209,0.4051490676252376,0.7627098826556321,NA,NA
AT2G07676,-1.4441768877109353,-3.0441946819695302,0.6928982249837858,0.40518033297100847,0.7627098826556321,NA,NA
AT1G30290,-0.13320035748680709,3.076889184893691,0.6928963016768908,0.40518098484477255,0.7627098826556321,NA,NA
AT3G13100,0.4542173309804807,4.869649683415921,0.6928458291417741,0.40519809224169545,0.7627098826556321,ABCC7;ATMRP7;MRP7;MRP7,ATP-binding cassette C7;multidrug resistance-associated protein 7;NA;multidrug resistance-associated protein 7
AT3G59520,0.11275652724932268,3.7316261255444294,0.6928080296707844,0.40521090486186373,0.7627098826556321,ATRBL12;ATRBL13;RBL12;RBL13,ARABIDOPSIS RHOMBOID-LIKE PROTEIN 12;RHOMBOID-like protein 13;RHOMBOID-like protein 12;RHOMBOID-like protein 13
AT2G31305,0.16166348533133504,3.509685818847991,0.6926727068090557,0.40525677914939756,0.7627535032195182,INH3,INHIBITOR-3
AT4G10640,0.18766972205005683,2.048266654556925,0.6918863122076928,0.4055235161685288,0.7632127921079256,IQD16,IQ-domain 16
AT3G60640,0.12984657160949228,3.927030311920256,0.691687003287381,0.4055911604595436,0.7632707882387736,ATG8G,AUTOPHAGY 8G
AT2G40130,0.21915466407834858,3.275710434642009,0.6916378248564072,0.4056078538696012,0.7632707882387736,SMXL8,SMAX1-like 8
AT3G07680,-0.08499022712275879,6.630455306279607,0.6915947484316689,0.4056224768043503,0.7632707882387736,p24beta2,p24 subfamily beta 2
AT1G31920,-1.1750815900997944,-2.5356013652812006,0.691447288888039,0.4056725399781419,0.7633122417830387,NA,NA
AT3G48120,0.12604143466823806,3.3795348285979014,0.6913699217366069,0.40569881008333153,0.7633122417830387,NA,NA
AT3G26350,0.23774106594055347,1.057531178684538,0.6913291500789178,0.4057126551468684,0.7633122417830387,NA,NA
AT3G48000,-0.13417144655712504,6.8653231842315705,0.691116687406975,0.4057848134799924,0.7634052574074635,ALDH2;ALDH2A;ALDH2B4,aldehyde dehydrogenase 2;aldehyde dehydrogenase 2A;aldehyde dehydrogenase 2B4
AT2G37950,-0.17094813794362326,2.5534264439932515,0.6909602039878902,0.40583797167142543,0.7634224901179507,NA,NA
AT5G64200,-0.08061154951254032,5.988485785414755,0.6909559628045905,0.40583941256404243,0.7634224901179507,At-SC35;ATSC35;SC35,ortholog of human splicing factor SC35;ARABIDOPSIS THALIANA ORTHOLOG OF HUMAN SPLICING FACTOR SC35;ortholog of human splicing factor SC35
AT3G22990,0.08080383295487983,5.277943694760764,0.6905110569914927,0.4059906056796108,0.763664147561928,LFR,LEAF AND FLOWER RELATED
AT2G26870,0.437404183285963,-0.11548043933463395,0.6903259448408718,0.4060535369227739,0.7636869652895651,NPC2,non-specific phospholipase C2
AT4G29770,-0.7236738027519727,-1.9896981809488765,0.690325386560076,0.40605372673904205,0.7636869652895651,HTT1,HEAT-INDUCED TAS1 TARGET 1
AT3G22570,0.14936539796100395,5.5814825357338185,0.690274823880145,0.4060709186604565,0.7636869652895651,NA,NA
AT3G18230,-0.09148316276617889,6.018035165905426,0.6900827573107939,0.4061362333131684,0.7637670534916657,NA,NA
ATMG01010,-1.2030506734199387,-3.066567046792559,0.6899462448367863,0.40618266543711595,0.7638116248261219,ORF118,"NA"
AT3G58850,0.25007524930782216,2.883367376604078,0.6897069234561322,0.40626408479353104,0.7639219796996212,HLH2;PAR2,NA;PHY RAPIDLY REGULATED 2
AT5G18190,0.07930563336910873,6.523707782767845,0.6895951513945953,0.40630211886433737,0.7639507469128457,AEL4;MLK1;PPK2,Arabidopsis EL1-like 4;MUT9P-LIKE-KINASE 1;Photoregulatory Protein Kinase 2
AT2G22821,0.39155250649214574,0.07715694563779991,0.6890119433758564,0.40650065883250336,0.7642695476293848,NA,NA
AT2G02950,-0.2528858862521921,1.3082024626121618,0.6889634889498115,0.40651716043033137,0.7642695476293848,PKS1,phytochrome kinase substrate 1
AT4G30430,0.3136451575543269,0.35510723225233226,0.6886649330035937,0.4066188580154757,0.7644179739865734,TET9,tetraspanin9
AT5G37485,0.3754461981594859,1.142402496229213,0.6883936847751251,0.4067112860087517,0.7645193976260215,NA,NA
AT4G12900,-1.1762794639541063,-2.634362614879407,0.6883730664970287,0.4067183129564538,0.7645193976260215,NA,NA
AT1G24540,-1.2007187008938265,-2.686944942334924,0.688098942064439,0.4068117546220952,0.7646522670924452,CYP86C1,"cytochrome P450, family 86, subfamily C, polypeptide 1"
AT2G34640,-0.13214223963941155,3.8705721540688693,0.6879223638547991,0.4068719620369204,0.7647226573646156,HMR;PTAC12;TAC12,HEMERA;plastid transcriptionally active 12;NA
AT4G17908,-1.160279694785966,-2.210964714283286,0.68761680706098,0.40697617776413064,0.7648757494955153,NA,NA
AT4G13494,-1.160247307573377,-2.9360084578902206,0.6874989471105142,0.40701638649761696,0.7649085357434522,MIR863A,microRNA863A
AT5G09711,-1.1747249525968333,-2.5516325432411566,0.6869736351731,0.4071956710376987,0.7652026697728735,NA,NA
AT1G31460,0.15102657338714057,3.247508097683748,0.6868783334264421,0.4072282091139052,0.7652210201680709,NA,NA
AT1G10330,0.17323413127219892,1.7721268200848634,0.6866068936321543,0.4073209053979002,0.765298009009792,NA,NA
AT4G37940,0.11427835569290762,4.595195497687588,0.6865928804068524,0.4073256917322772,0.765298009009792,AGL21,AGAMOUS-like 21
AT1G35170,0.6086357127483963,-1.6940086663563936,0.6865582908651575,0.40733750643235905,0.765298009009792,NA,NA
AT1G79510,-0.21612329686145307,1.2841096159586252,0.6863216072639986,0.4074183635807096,0.7654071258548029,NA,NA
AT1G32713,-1.1746578745346232,-2.9153236674025167,0.6861304545597058,0.407483683378341,0.7654870424821946,MIR829A,microRNA829A
AT4G35980,-0.10952530132578076,4.139001653635764,0.6856680492923868,0.4076417577825461,0.765721269585886,NA,NA
AT4G20880,0.1201315076448132,4.606572985440033,0.6856167506882684,0.40765929987618876,0.765721269585886,NA,NA
AT3G61450,-0.4168269313763874,-0.40150070205442767,0.6855657799877974,0.4076767309354057,0.765721269585886,ATSYP73;SYP73,NA;syntaxin of plants 73
AT5G64090,0.08873112502659958,5.546024171538026,0.6849344778154354,0.4078927154577799,0.7660776271941605,NA,NA
AT3G30582,-1.159507975417865,-2.9571667651593705,0.6848078941869478,0.4079360431214152,0.7660776271941605,NA,NA
AT2G02050,-0.11047451858909127,6.573377056588685,0.6847533434406579,0.4079547170980154,0.7660776271941605,NA,NA
AT4G37483,-0.2710197653745669,0.7468150969820657,0.684744766939037,0.4079576531460124,0.7660776271941605,NA,NA
AT1G74130,0.7763082035268196,-2.7041287341342772,0.6839519518639996,0.4082291964021035,0.7665447028501526,NA,NA
AT3G26310,-1.1600266410446463,-2.8946855109568643,0.6834156389056254,0.4084130366837624,0.7667824463871845,CYP71B35,"cytochrome P450, family 71, subfamily B, polypeptide 35"
AT4G22310,0.10807080546275631,6.7842318222438225,0.6834078226789622,0.4084157168703187,0.7667824463871845,MPC3,mitochondrial pyruvate carrier 3
AT4G04614,-0.09312607597377393,4.289213567039679,0.6833566111986613,0.40843327794120377,0.7667824463871845,NA,NA
AT3G30841,0.10688805699136217,4.363027398726964,0.6833163444036376,0.40844708671758273,0.7667824463871845,NA,NA
AT2G32640,-0.32619532904907617,-0.060338704442592095,0.6830938641569535,0.4085233946824305,0.7668828552021805,LCYB,lycopene beta-cylcase
AT3G14010,0.08194664386435584,6.238287034220282,0.6830040487859961,0.4085542061668296,0.7668978512718735,CID4,CTC-interacting domain 4
AT2G27670,1.1827028000535778,-2.5200062728593484,0.6826758159572748,0.40866683661798814,0.7670664196200222,NA,NA
